0.9867,0.0000,0.0020,0.0010,0.0020,0.0010,0.0020,0.0010,0.0020,0.0020
0.0000,0.9903,0.0026,0.0000,0.0000,0.0009,0.0018,0.0009,0.0035,0.0000
0.0048,0.0019,0.9767,0.0029,0.0010,0.0000,0.0039,0.0039,0.0048,0.0000
0.0000,0.0000,0.0059,0.9802,0.0000,0.0000,0.0000,0.0059,0.0030,0.0050
0.0010,0.0000,0.0020,0.0010,0.9766,0.0000,0.0061,0.0031,0.0010,0.0092
0.0034,0.0000,0.0011,0.0101,0.0011,0.9652,0.0045,0.0022,0.0078,0.0045
0.0063,0.0031,0.0021,0.0010,0.0042,0.0042,0.9739,0.0000,0.0052,0.0000
0.0010,0.0029,0.0058,0.0039,0.0000,0.0000,0.0000,0.9796,0.0029,0.0039
0.0041,0.0000,0.0041,0.0062,0.0051,0.0021,0.0031,0.0062,0.9671,0.0021
0.0030,0.0050,0.0000,0.0050,0.0089,0.0030,0.0010,0.0069,0.0040,0.9633
